"Country or Area","Year","Commodity","Flow","Trade (USD)","Weight (kg)","Quantity Name","Quantity"
"China","2018","Tobacco, unmanufactured, not stemmed or stripped","Import","17891339","1846561","Weight in kilograms","1846561"
"China","2018","Tobacco, unmanufactured, not stemmed or stripped","Export","1905612","450118","Weight in kilograms","450118"
"China","2018","Tobacco, unmanufactured, not stemmed or stripped","Re-Import","57420","99000","Weight in kilograms","99000"
"China","2018","Tobacco, unmanufactured, stemmed or stripped","Import","1050283258","127444802","Weight in kilograms","127444802"
"China","2018","Tobacco, unmanufactured, stemmed or stripped","Export","520153469","144775632.834998","Weight in kilograms","144775632.834998"
"China","2018","Tobacco refuse","Export","19697058","41373238.1004781","Weight in kilograms","41373238.1004781"
"China","2018","Cigars, cheroots and cigarillos, containing tobacco","Import","14248131","63049","Weight in kilograms","63049"
"China","2018","Cigars, cheroots and cigarillos, containing tobacco","Export","1057205","4761","Weight in kilograms","4761"
"China","2018","Cigarettes containing tobacco","Import","615887926","20055911","Weight in kilograms","20055911"
"China","2018","Cigarettes containing tobacco","Export","721043431","35691726","Weight in kilograms","35691726"
"China","2018","Cigarettes containing tobacco","Re-Import","234409635","4573000","Weight in kilograms","4573000"
"China","2018","Cigars, cheroots, cigarettes, with tobacco substitute","Export","5000","116","Weight in kilograms","116"
"China","2018","Cigarette or pipe tobacco and tobacco substitute mixe","Import","45210110","10280452","Weight in kilograms","10280452"
"China","2018","Cigarette or pipe tobacco and tobacco substitute mixe","Export","137447927","21136293","Weight in kilograms","21136293"
"China","2018","Homogenized or reconstituted tobacco","Import","14792430","4259523","Weight in kilograms","4259523"
"China","2018","Homogenized or reconstituted tobacco","Export","3781933","1669911","Weight in kilograms","1669911"
"China","2018","Products of tobacco, substitute nes, extract, essence","Import","469211","154006","Weight in kilograms","154006"
"China","2018","Products of tobacco, substitute nes, extract, essence","Export","454983","58219","Weight in kilograms","58219"
"China","2017","Tobacco, unmanufactured, not stemmed or stripped","Import","17537219","1726327","Weight in kilograms","1726327"
"China","2017","Tobacco, unmanufactured, not stemmed or stripped","Export","43484","10081.1591802939","Weight in kilograms","10081.1591802939"
"China","2017","Tobacco, unmanufactured, stemmed or stripped","Import","1196471157","145042552.547034","Weight in kilograms","145042552.547034"
"China","2017","Tobacco, unmanufactured, stemmed or stripped","Export","601729900","165366676.374094","Weight in kilograms","165366676.374094"
"China","2017","Tobacco refuse","Export","18665427","40602516","Weight in kilograms","40602516"
"China","2017","Cigars, cheroots and cigarillos, containing tobacco","Import","11551094","55561","Weight in kilograms","55561"
"China","2017","Cigars, cheroots and cigarillos, containing tobacco","Export","997484","16108","Weight in kilograms","16108"
"China","2017","Cigarettes containing tobacco","Import","500898113","18021583.9226785","Weight in kilograms","18021583.9226785"
"China","2017","Cigarettes containing tobacco","Export","575785892","31088816","Weight in kilograms","31088816"
"China","2017","Cigarettes containing tobacco","Re-Import","153318903","3292127","Weight in kilograms","3292127"
"China","2017","Cigarette or pipe tobacco and tobacco substitute mixe","Import","16355618","4067331","Weight in kilograms","4067331"
"China","2017","Cigarette or pipe tobacco and tobacco substitute mixe","Export","125855814","18412487","Weight in kilograms","18412487"
"China","2017","Homogenized or reconstituted tobacco","Import","19564737","5796720","Weight in kilograms","5796720"
"China","2017","Homogenized or reconstituted tobacco","Export","3220159","1271000","Weight in kilograms","1271000"
"China","2017","Products of tobacco, substitute nes, extract, essence","Import","297552","137384","Weight in kilograms","137384"
"China","2017","Products of tobacco, substitute nes, extract, essence","Export","501180","30764","Weight in kilograms","30764"
"China","2016","Tobacco, unmanufactured, not stemmed or stripped","Import","6303491","643880","Weight in kilograms","643880"
"China","2016","Tobacco, unmanufactured, not stemmed or stripped","Export","355525","79700","Weight in kilograms","79700"
"China","2016","Tobacco, unmanufactured, stemmed or stripped","Import","1127377600","133941858","Weight in kilograms","133941858"
"China","2016","Tobacco, unmanufactured, stemmed or stripped","Export","554436166","135374680","Weight in kilograms","135374680"
"China","2016","Tobacco refuse","Export","18481169","37315268","Weight in kilograms","37315268"
"China","2016","Cigars, cheroots and cigarillos, containing tobacco","Import","8268901","55404","Weight in kilograms","55404"
"China","2016","Cigars, cheroots and cigarillos, containing tobacco","Export","354350","15269","Weight in kilograms","15269"
"China","2016","Cigarettes containing tobacco","Import","562725732","18614746","Weight in kilograms","18614746"
"China","2016","Cigarettes containing tobacco","Export","634750617","35465178","Weight in kilograms","35465178"
"China","2016","Cigarette or pipe tobacco and tobacco substitute mixe","Import","1742400","324941","Weight in kilograms","324941"
"China","2016","Cigarette or pipe tobacco and tobacco substitute mixe","Export","150487472","18592082","Weight in kilograms","18592082"
"China","2016","Homogenized or reconstituted tobacco","Import","20966953","6255360","Weight in kilograms","6255360"
"China","2016","Homogenized or reconstituted tobacco","Export","2012219","719140","Weight in kilograms","719140"
"China","2016","Products of tobacco, substitute nes, extract, essence","Import","284514","137243","Weight in kilograms","137243"
"China","2016","Products of tobacco, substitute nes, extract, essence","Export","16589417","791920","Weight in kilograms","791920"
"Germany","2018","Tobacco, unmanufactured, not stemmed or stripped","Import","108993559.561333","17103309.314904","Weight in kilograms","17103309.314904"
"Germany","2018","Tobacco, unmanufactured, not stemmed or stripped","Export","36388798.208481","4392045","Weight in kilograms","4392045"
"Germany","2018","Tobacco, unmanufactured, stemmed or stripped","Import","776049870.347212","125719253.779079","Weight in kilograms","125719253.779079"
"Germany","2018","Tobacco, unmanufactured, stemmed or stripped","Export","374771828.814838","50192630","Weight in kilograms","50192630"
"Germany","2018","Tobacco refuse","Import","16854303.1701718","19921182.109606","Weight in kilograms","19921182.109606"
"Germany","2018","Tobacco refuse","Export","2423674.786538","5190469.02007467","Weight in kilograms","5190469.02007467"
