Country,Year,Flow,Trade,Category
China,2018,Import,22518483,iron_steel
China,2018,Export,770485,iron_steel
China,2018,Import,1901876,iron_steel
China,2018,Import,24846149,iron_steel
China,2018,Export,4675,iron_steel
China,2018,Import,18888674,iron_steel
China,2018,Export,329963,iron_steel
China,2018,Import,974437,iron_steel
China,2018,Export,1120985,iron_steel
China,2018,Import,37158728,iron_steel
China,2018,Export,761509405,iron_steel
China,2018,Re-Import,18000,iron_steel
China,2018,Import,4679017,iron_steel
China,2018,Export,45190175,iron_steel
China,2018,Import,32427960,iron_steel
China,2018,Export,5616468,iron_steel
China,2018,Import,2685569741,iron_steel
China,2018,Export,108578851,iron_steel
China,2018,Re-Import,3413829,iron_steel
China,2018,Import,2560199,iron_steel
China,2018,Export,30741843,iron_steel
China,2018,Re-Import,29096,iron_steel
China,2018,Import,492,iron_steel
China,2018,Import,2509103224,iron_steel
China,2018,Export,15533449,iron_steel
China,2018,Import,3688685,iron_steel
China,2018,Export,70814726,iron_steel
China,2018,Import,2302,iron_steel
China,2018,Export,74703110,iron_steel
China,2018,Import,10150462,iron_steel
China,2018,Export,1021926,iron_steel
China,2018,Re-Import,1851,iron_steel
China,2018,Import,651811,iron_steel
China,2018,Export,349940565,iron_steel
China,2018,Re-Import,111615,iron_steel
China,2018,Import,741780302,iron_steel
China,2018,Export,2747350,iron_steel
China,2018,Import,40738794,iron_steel
China,2018,Export,366555662,iron_steel
China,2018,Re-Import,104057,iron_steel
China,2018,Import,30277739,iron_steel
China,2018,Export,4888,iron_steel
China,2018,Import,44966,iron_steel
China,2018,Export,55427,iron_steel
China,2018,Import,45840,iron_steel
China,2018,Export,2017776,iron_steel
China,2018,Export,505048,iron_steel
China,2018,Import,97549938,iron_steel
China,2018,Export,10655,iron_steel
China,2018,Import,128551,iron_steel
China,2018,Export,34709,iron_steel
China,2018,Import,3782976,iron_steel
China,2018,Export,1294815,iron_steel
China,2018,Import,673400637,iron_steel
China,2018,Export,44998418,iron_steel
China,2018,Re-Import,13910829,iron_steel
China,2018,Export,7,iron_steel
China,2018,Import,28655726,iron_steel
China,2018,Export,62679904,iron_steel
China,2018,Re-Import,414,iron_steel
China,2018,Import,169723563,iron_steel
China,2018,Export,47096818,iron_steel
China,2018,Re-Import,51900,iron_steel
China,2018,Import,108711982,iron_steel
China,2018,Export,44894934,iron_steel
China,2018,Re-Import,33835,iron_steel
China,2018,Import,5870957,iron_steel
China,2018,Export,94570,iron_steel
China,2018,Import,214185,iron_steel
China,2018,Export,30448,iron_steel
China,2018,Re-Import,892,iron_steel
China,2018,Import,63106984,iron_steel
China,2018,Export,51737,iron_steel
China,2018,Import,63619904,iron_steel
China,2018,Export,7534,iron_steel
China,2018,Import,34788034,iron_steel
China,2018,Export,10145,iron_steel
China,2018,Re-Import,1800,iron_steel
China,2018,Import,51306303,iron_steel
China,2018,Export,1914801,iron_steel
China,2018,Re-Import,111,iron_steel
China,2018,Import,46757,iron_steel
China,2018,Export,15152280,iron_steel
China,2018,Re-Import,6898,iron_steel
China,2018,Import,67093346,iron_steel
China,2018,Export,33994087,iron_steel
China,2018,Re-Import,1596617,iron_steel
China,2018,Import,776509515,iron_steel
China,2018,Export,178746413,iron_steel
China,2018,Re-Import,4679621,iron_steel
China,2018,Import,593316931,iron_steel
China,2018,Export,88002513,iron_steel
China,2018,Re-Import,615886,iron_steel
China,2018,Import,905518533,iron_steel
China,2018,Export,97065434,iron_steel
China,2018,Re-Import,16719426,iron_steel
China,2018,Import,34732840,iron_steel
China,2018,Export,54745085,iron_steel
China,2018,Re-Import,1424202,iron_steel
China,2018,Import,1899691,iron_steel
China,2018,Export,6225461,iron_steel
China,2018,Re-Import,99959,iron_steel
China,2018,Import,3674545,iron_steel
China,2018,Export,6064668,iron_steel
China,2018,Re-Import,13963,iron_steel
China,2018,Import,1705294,iron_steel
China,2018,Export,15771103,iron_steel
China,2018,Re-Import,132621,iron_steel
China,2018,Import,5491213,iron_steel
China,2018,Export,5059533,iron_steel
China,2018,Re-Import,6850,iron_steel
China,2018,Import,290950206,iron_steel
China,2018,Export,609271989,iron_steel
China,2018,Import,550136398,iron_steel
China,2018,Export,811096343,iron_steel
China,2018,Import,477276517,iron_steel
China,2018,Export,408817253,iron_steel
China,2018,Import,47171,iron_steel
China,2018,Export,6319030,iron_steel
China,2018,Import,830400,iron_steel
China,2018,Export,9122994,iron_steel
China,2018,Re-Import,7173,iron_steel
China,2018,Import,5367192,iron_steel
China,2018,Export,36563444,iron_steel
China,2018,Re-Import,33942,iron_steel
China,2018,Import,4548067,iron_steel
China,2018,Export,57981357,iron_steel
China,2018,Re-Import,74,iron_steel
China,2018,Import,825964,iron_steel
China,2018,Export,11187249,iron_steel
China,2018,Re-Import,23368,iron_steel
China,2018,Import,1351308,iron_steel
China,2018,Export,7482123,iron_steel
China,2018,Re-Import,962,iron_steel
China,2018,Import,14679937,iron_steel
China,2018,Export,1014663080,iron_steel
China,2018,Re-Import,2256791,iron_steel
